Kennung;Name;" je 100 der Bevölkerung1)
(insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(Deutsche insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(Ausländer insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
1011101;Stülerstr.;2,81;0,98;8,84;3,42;1,34;7,31;2,02;0,65;17,12
1011102;Großer Tiergarten;3,55;1,41;14,81;6,12;2,70;16,67;0,00;0,00;0,00
1011103;Lützowstr.;5,10;1,39;18,92;5,29;1,94;14,25;4,81;0,69;36,02
1011104;Körnerstr.;3,66;1,24;25,84;4,24;1,52;22,68;2,88;0,89;35,42
1011105;Nördl. Landwehrkanal;0,56;0,17;2,73;0,72;0,19;2,27;0,41;0,15;4,55
1011201;Wilhelmstr.;1,10;0,40;4,24;0,95;0,66;1,68;1,25;0,18;14,44
1011202;Unter den Linden Nord;0,54;0,22;2,20;0,85;0,37;2,56;0,00;0,00;0,00
1011203;Unter den Linden Süd;0,89;0,47;3,01;1,11;0,83;2,07;0,52;0,00;9,52
1011204;Leipziger Str.;1,65;0,79;4,77;1,77;1,15;3,24;1,43;0,29;17,05
1011301;Charitéviertel;0,64;0,24;3,69;0,82;0,32;3,59;0,28;0,10;4,35
1011302;Oranienburger Str.;1,20;0,72;5,48;1,48;0,98;4,90;0,52;0,14;9,92
1011303;Alexanderplatzviertel;2,14;0,90;8,31;2,72;1,32;6,99;1,15;0,34;25,23
1011304;Karl-Marx-Allee;2,06;0,93;4,63;2,10;1,23;3,28;1,96;0,54;32,43
1011305;Heine-Viertel West;0,99;0,47;2,83;1,07;0,70;1,94;0,80;0,11;15,45
1011306;Heine-Viertel Ost;1,14;0,82;2,68;1,44;1,27;1,98;0,58;0,18;10,85
1011401;Invalidenstr.;0,78;0,38;6,00;1,05;0,56;5,73;0,25;0,06;8,13
1011402;Arkonaplatz;0,68;0,31;5,09;0,84;0,43;4,52;0,31;0,03;10,00
1022101;Huttenkiez;3,87;1,53;24,66;3,96;1,76;21,29;3,74;1,17;31,91
1022102;Beusselkiez;4,06;1,77;23,79;4,84;2,46;23,06;3,15;0,99;24,90
1022103;Westhafen;4,63;1,04;34,78;7,25;3,57;23,08;3,40;0,00;50,00
1022104;Emdener Str.;3,50;1,44;15,80;3,80;1,80;14,15;2,95;0,81;20,26
1022105;Zwinglistr.;4,40;1,86;21,18;4,46;2,21;17,04;4,30;1,35;30,99
1022106;Elberfelder Str.;2,38;1,01;7,49;2,53;1,21;6,72;1,86;0,42;13,50
1022201;Stephankiez;2,78;1,23;15,42;2,91;1,40;13,81;2,52;0,88;19,92
1022202;Heidestr.;1,61;0,71;18,11;2,06;0,91;17,44;1,19;0,54;19,35
1022203;Lübecker Str.;5,16;1,68;20,69;4,86;1,84;17,24;5,67;1,42;27,89
1022204;Thomasiusstr.;2,68;1,07;9,22;2,70;1,25;7,37;2,65;0,70;20,57
1022205;Zillesiedlung;6,87;3,19;20,60;7,95;4,65;17,49;4,80;0,80;33,02
1022206;Lüneburger Str.;2,98;0,90;12,57;2,90;0,90;10,75;3,19;0,93;23,29
1022207;Hansaviertel;2,60;0,68;8,83;2,57;0,78;6,22;2,66;0,56;32,03
1033101;Soldiner Str.;3,90;1,75;18,41;4,29;2,20;15,45;3,41;1,21;24,88
1033102;Gesundbrunnen;3,52;1,73;15,37;3,63;2,04;12,57;3,37;1,31;21,08
1033201;Brunnenstr.;4,58;1,77;19,38;4,55;1,96;16,25;4,63;1,46;27,77
1033202;Humboldthain Süd;3,76;1,71;11,86;4,33;2,20;10,57;2,71;0,98;17,54
1033203;Humboldthain NW;4,25;2,33;18,33;4,77;3,08;14,79;3,57;1,41;26,04
1044101;Rehberge;3,63;1,72;12,37;3,69;1,99;9,77;3,50;1,26;23,63
1044102;Schillerpark;3,19;1,75;7,38;3,46;2,10;6,42;2,48;1,04;15,45
1044103;Westl. Müllerstr.;3,11;1,43;16,35;3,45;1,91;13,46;2,54;0,69;24,55
1044201;Reinickendorfer Str.;4,23;2,05;19,74;4,67;2,42;17,83;3,71;1,65;23,08
1044202;Sparrplatz;3,24;1,55;20,05;3,84;2,13;17,63;2,45;0,80;25,30
1044203;Leopoldplatz;5,42;2,39;22,11;6,06;3,14;19,24;4,53;1,44;28,29
2010101;Askanischer Platz;4,51;1,91;23,74;4,98;2,56;18,62;3,91;1,14;36,11
2010102;Mehringplatz;6,02;2,49;25,37;6,36;3,14;21,33;5,47;1,51;35,33
2010103;Moritzplatz;4,93;2,26;18,79;5,30;2,52;18,01;4,40;1,91;20,26
2010104;Wassertorplatz;6,16;2,49;24,92;6,36;3,02;21,43;5,82;1,66;32,84
2020201;Gleisdreieck/Entwickl.-gebiet;0,95;0,61;2,50;1,12;0,85;2,08;0,44;0,00;6,25
2020202;Rathaus Yorckstraße;3,32;1,48;14,23;3,39;1,64;12,57;3,15;1,13;19,88
2020203;Viktoriapark;2,26;0,75;11,71;2,44;0,88;10,83;1,78;0,44;16,04
2020204;Urbanstraße;2,63;1,15;12,56;2,64;1,31;10,50;2,60;0,81;20,21
2020205;Chamissokiez;2,98;1,19;13,78;3,17;1,38;13,19;2,48;0,71;15,74
2020206;Graefekiez;3,48;1,54;16,48;3,25;1,53;13,43;3,96;1,55;26,12
2030301;Oranienplatz;5,29;2,81;19,78;5,23;2,98;22,98;5,38;2,54;17,20
2030302;Lausitzer Platz;4,64;1,92;21,64;4,79;2,10;22,71;4,38;1,61;20,03
2030401;Reichenberger Straße;3,64;1,86;16,56;4,17;2,33;16,65;2,66;1,01;16,35
2030402;Wrangelkiez;2,87;1,33;15,69;3,01;1,60;16,28;2,64;0,86;14,94
2040501;Barnimkiez;1,75;1,32;2,57;1,85;1,66;2,10;1,40;0,53;16,98
2040502;Friedenstraße;1,56;0,99;4,03;1,68;1,24;3,13;1,17;0,34;25,00
2040503;Richard-Sorge-Viertel;1,33;0,94;3,77;1,35;1,05;2,83;1,24;0,56;26,92
2040701;Andreasviertel;2,50;1,33;6,63;2,57;1,62;4,71;2,33;0,89;39,86
2040702;Weberwiese;1,39;0,90;4,82;1,72;1,18;4,43;0,53;0,29;14,29
2040703;Wriezener Bahnh./Entwickl.-geb.;0,98;0,67;12,50;1,99;1,31;14,29;0,19;0,20;0,00
2050601;Hausburgviertel;1,38;0,83;9,11;1,63;1,09;7,47;0,76;0,23;26,67
2050602;Samariterviertel;1,44;0,87;9,64;1,54;1,02;7,56;1,17;0,48;28,57
2050801;Traveplatz;1,38;0,91;9,45;1,48;1,05;7,02;1,16;0,60;30,69
2050802;Boxhagener Platz;0,84;0,55;7,12;1,01;0,74;5,61;0,42;0,11;20,24
2050803;Stralauer Kiez;1,09;0,58;7,14;1,34;0,78;6,12;0,56;0,19;19,05
2050804;Stralauer Halbinsel;1,77;1,51;3,35;1,97;1,73;3,31;0,40;0,21;4,17
3010101;Bucher Forst;1,94;1,74;2,68;2,05;1,88;2,58;1,16;0,95;10,00
3010102;Buch;2,42;2,55;2,14;2,70;3,13;1,97;0,72;0,30;15,38
3010104;Lietzengraben;1,74;1,20;20,00;2,07;1,43;20,00;0,00;0,00;0,00
3020203;Blankenfelde;0,34;0,33;0,36;0,30;0,26;0,37;1,16;1,22;0,00
3020209;Niederschönhausen;1,54;1,34;2,25;1,61;1,45;2,09;1,06;0,70;8,45
3020210;Herthaplatz;1,19;0,86;2,39;1,22;0,94;2,12;0,98;0,34;17,14
3020307;Buchholz;1,35;0,93;2,76;1,36;0,99;2,52;1,21;0,30;14,08
3030405;Karow-Nord;1,58;1,18;3,10;1,70;1,35;2,82;0,74;0,19;25,00
3030406;Alt-Karow;0,56;0,52;0,64;0,55;0,55;0,55;0,71;0,00;8,33
3030711;Blankenburg;0,78;0,92;0,42;0,75;0,92;0,36;1,42;0,98;12,50
3030715;Heinersdorf;0,95;0,70;1,76;1,04;0,85;1,54;0,41;0,00;12,50
3030716;Märchenland;0,31;0,32;0,28;0,32;0,34;0,28;0,00;0,00;0,00
3040508;Rosenthal;0,83;0,49;2,19;0,79;0,46;2,02;1,23;0,69;5,88
3040512;Wilhelmsruh;1,08;0,71;2,12;1,12;0,80;1,89;0,80;0,12;14,29
3040513;Schönholz;2,51;2,35;2,94;2,73;2,67;2,87;0,66;0,35;7,14
3040614;Pankow-Zentrum;1,29;0,94;2,56;1,34;1,04;2,29;0,89;0,26;15,22
3040818;Pankow-Süd;1,48;1,03;3,30;1,60;1,19;3,03;0,76;0,31;14,60
3050919;Gustav-Adolf-Straße;1,64;1,12;3,41;1,88;1,34;3,37;0,38;0,26;5,26
3050920;Weißer See;2,07;1,89;2,65;2,19;2,06;2,56;1,18;0,95;7,69
3050923;Weißenseer Spitze;1,67;1,26;4,84;1,90;1,49;4,45;0,76;0,48;16,67
3050924;Behaimstraße;1,93;1,31;7,49;2,33;1,62;7,60;0,38;0,19;5,88
3050925;Komp.-viertel Weißensee;1,42;1,02;3,57;1,44;1,14;2,84;1,28;0,44;23,81
3051017;Rennbahnstraße;1,62;1,14;3,90;1,57;1,20;3,02;1,84;0,95;30,00
3051021;Buschallee;2,12;1,76;2,95;2,21;2,00;2,61;1,47;0,56;21,21
3051022;Hansastraße;1,23;1,03;1,68;1,25;1,11;1,52;1,09;0,38;25,00
3061126;Arnimplatz;1,11;0,63;6,04;1,31;0,81;5,36;0,51;0,15;16,67
3061131;Falkplatz;1,07;0,69;6,62;1,39;0,96;6,46;0,24;0,04;7,94
3061227;Humannplatz;1,18;0,65;5,02;1,34;0,76;4,69;0,55;0,24;12,31
3061228;Erich-Weinert-Straße;1,93;1,16;5,80;2,13;1,38;5,12;1,10;0,38;24,62
3061332;Helmholtzplatz;1,36;0,84;10,38;1,59;1,04;9,62;0,69;0,29;16,10
3061429;Greifswalder Straße;2,08;1,99;2,21;2,17;2,37;1,94;1,45;0,41;23,91
3061430;Volkspark Prenzlauer Berg;1,88;1,50;3,05;2,37;2,37;2,37;0,93;0,38;23,08
3061434;Anton-Saefkow-Park;2,00;1,23;8,45;2,29;1,56;7,29;1,04;0,25;21,28
3061435;Conrad-Blenkle-Straße;1,58;1,06;5,07;1,86;1,45;3,83;0,85;0,19;30,43
3061441;Eldenaer Straße;0,62;0,37;2,67;0,61;0,42;1,89;0,67;0,23;15,38
3071536;Teutoburger Platz;0,93;0,53;7,07;1,09;0,68;6,20;0,52;0,19;13,64
3071537;Kollwitzplatz;1,03;0,46;7,15;1,25;0,61;6,95;0,40;0,09;8,66
3071633;Thälmannpark;3,08;2,19;5,97;3,52;2,82;5,18;1,62;0,67;33,33
3071638;Winsstraße;1,05;0,59;5,90;1,27;0,76;5,55;0,39;0,12;9,90
3071639;Bötzowstraße;1,36;0,91;5,48;1,52;1,08;4,92;0,72;0,30;13,24
4010101;Jungfernheide;4,38;1,97;11,39;4,96;2,43;10,19;3,08;1,19;20,29
4010102;Plötzensee;0,79;0,45;1,62;0,95;0,40;1,80;0,47;0,52;0,00
4010103;Paul-Hertz-Siedlung;5,33;1,94;14,78;4,98;2,24;10,68;6,16;1,37;42,45
4020204;Olympiagelände;0,79;0,00;3,33;0,00;0,00;0,00;4,76;0,00;20,00
4020205;Siedlung Ruhleben;0,55;0,14;1,34;0,32;0,00;0,83;1,88;0,68;16,67
4020206;Angerburger Allee;2,32;1,76;2,93;2,54;2,30;2,72;1,42;0,68;7,55
4020207;Flatowallee;1,31;0,74;2,57;1,53;0,97;2,56;0,26;0,00;2,86
4020208;Kranzallee;1,67;1,56;1,90;1,68;1,65;1,75;1,62;1,14;4,35
4020209;Eichkamp;0,36;0,22;0,76;0,51;0,35;0,79;0,00;0,00;0,00
4020310;Park Ruhwald;0,32;0,19;1,09;0,65;0,45;1,19;0,00;0,00;0,00
4020311;Reichsstraße;1,84;0,74;3,91;1,78;0,80;3,31;2,13;0,58;11,76
4020312;Branitzer Platz;2,60;1,58;4,55;2,57;1,94;3,54;2,75;0,41;18,35
4020313;Königin-Elisabeth-Straße;2,51;1,04;7,06;2,50;1,22;5,68;2,52;0,59;19,61
4020314;Messegelände;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4030415;Schloßgarten;6,88;2,99;19,13;8,39;4,72;15,77;4,58;1,04;35,88
4030416;Klausenerplatz;4,67;1,75;15,79;4,70;2,07;14,33;4,59;0,92;20,18
4030417;Schloßstraße;2,81;0,79;9,26;2,95;0,89;8,61;2,31;0,50;13,45
4030518;Tegeler Weg;3,91;1,55;13,97;4,00;1,80;12,06;3,69;0,97;21,73
4030519;Kaiserin-Augusta-Allee;3,63;1,87;11,44;3,74;2,10;9,96;3,33;1,34;18,59
4030620;Alt-Lietzow;3,45;1,17;9,84;3,24;1,39;7,39;4,02;0,69;25,66
4030621;Spreestadt;3,56;1,34;19,51;4,11;1,80;16,67;2,65;0,66;30,26
4030622;Richard-Wagner-Straße;4,65;1,23;15,17;4,86;1,45;13,43;4,11;0,76;23,62
4030623;Ernst-Reuter-Platz;4,74;1,29;17,72;4,04;1,54;11,70;6,10;0,85;38,03
4030724;Lietzensee;3,61;0,95;9,46;2,74;0,94;6,11;6,50;0,97;29,80
4030725;Amtsgerichtsplatz;2,14;0,70;7,00;2,29;0,84;6,37;1,68;0,36;11,11
4030726;Droysenstraße;2,46;0,81;6,86;2,56;0,83;6,19;2,18;0,74;11,59
4030827;Karl-August-Platz;3,27;1,03;12,14;3,87;1,42;11,25;2,25;0,47;15,22
4030828;Savignyplatz;2,36;0,75;7,53;2,61;0,91;6,97;1,77;0,44;10,44
4030929;Hindemithplatz;3,24;0,78;10,10;3,23;0,86;9,00;3,27;0,57;15,13
4030930;George-Grosz-Platz;2,85;0,59;8,31;2,76;0,57;7,21;3,10;0,63;14,15
4030931;Breitscheidplatz;2,81;0,66;9,07;3,09;0,76;8,09;2,30;0,53;12,99
4031032;Halensee;2,65;0,81;7,49;2,79;1,01;6,44;2,24;0,36;15,04
4041133;Güterbahnhof Grunewald;0,93;0,00;9,09;2,50;0,00;10,00;0,00;0,00;0,00
4041134;Bismarckallee;2,72;1,23;5,51;3,07;1,48;5,31;1,56;0,67;7,63
4041135;Hundekehle;1,56;1,58;1,51;1,82;1,91;1,70;0,59;0,74;0,00
4041136;Hagenplatz;2,59;2,62;2,54;2,73;3,11;2,24;2,06;1,35;5,56
4041137;Flinsberger Platz;2,45;0,86;6,47;2,47;0,89;5,67;2,38;0,78;13,99
4041238;Kissinger Straße;1,84;0,71;3,95;1,65;0,64;3,22;2,71;0,93;12,78
4041239;Stadion Wilmersdorf;0,81;0,53;2,80;1,40;0,97;3,33;0,00;0,00;0,00
4041240;Messelpark;1,31;1,06;1,66;1,42;1,31;1,55;0,58;0,00;4,00
4041241;Breite Straße;2,20;0,90;4,55;2,13;0,87;4,10;2,66;1,04;12,28
4041342;Schlangenbader Straße;5,41;2,50;9,76;4,77;2,25;7,84;8,07;3,20;28,79
4041343;Binger Straße;2,47;0,86;5,90;2,20;0,67;4,98;3,76;1,55;16,25
4041344;Rüdesheimer Platz;2,01;0,89;4,54;2,01;1,00;4,01;1,98;0,42;10,85
4051445;Eisenzahnstraße;2,35;0,67;7,49;2,26;0,68;6,16;2,60;0,64;16,48
4051446;Preußenpark;3,06;0,79;8,80;3,03;0,90;7,36;3,14;0,57;17,79
4051447;Ludwigkirchplatz;2,86;1,10;6,93;2,94;1,27;6,02;2,60;0,71;13,29
4051448;Schaperstraße;2,81;1,08;7,13;2,90;1,25;6,04;2,61;0,78;12,84
4051549;Rathaus Wilmersdorf;2,67;1,19;7,75;2,77;1,34;6,76;2,39;0,82;14,55
4051550;Leon-Jessel-Platz;2,79;0,93;9,46;2,80;1,02;8,34;2,77;0,69;14,94
4051551;Brabanter Platz;3,28;1,40;9,35;3,27;1,74;7,43;3,30;0,51;20,63
4051652;Nikolsburger Platz;2,38;0,64;6,81;2,33;0,75;5,55;2,52;0,40;17,25
4051653;Prager Platz;3,13;1,46;7,21;3,57;2,03;6,49;1,94;0,29;12,00
4051654;Wilhelmsaue;2,63;0,65;6,98;2,40;0,75;5,28;3,42;0,38;21,84
4051655;Babelsberger Straße;3,51;1,50;10,40;3,58;1,78;8,68;3,30;0,84;20,59
4051656;Hildegardstraße;1,92;0,54;6,26;1,91;0,59;5,47;1,97;0,37;13,70
4061757;Forst Grunewald;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5010101;Hakenfelde Nord;2,79;2,45;3,60;2,95;2,83;3,19;1,93;0,95;11,11
5010102;Goltzstraße;2,99;2,05;5,57;3,27;2,54;4,82;1,97;0,78;17,76
5010103;Amorbacher Weg;2,90;2,30;4,25;2,65;2,33;3,31;5,22;2,05;22,92
5010204;Griesingerstr.;3,53;1,25;8,19;3,77;1,66;7,03;2,62;0,19;27,45
5010205;An der Tränke;0,40;0,32;0,67;0,40;0,37;0,48;0,43;0,00;3,03
5010206;Gütersloher Weg;3,46;1,95;7,07;3,73;2,50;5,88;2,62;0,81;23,95
5010207;Darbystr.;5,32;3,01;11,73;6,14;3,95;10,86;2,82;0,86;19,75
5010208;Germersheimer Platz;3,57;2,01;9,21;4,01;2,53;8,35;2,16;0,65;16,67
5010209;An der Kappe;1,80;1,22;3,08;1,93;1,41;2,90;1,16;0,53;5,61
5010310;Eckschanze;3,71;2,10;10,12;4,37;2,73;9,41;1,94;0,71;15,79
5010311;Eiswerder;2,90;1,74;5,46;3,31;2,31;4,89;1,86;0,73;10,06
5010312;Kurstr.;4,08;1,92;16,36;5,23;2,66;15,48;2,60;1,10;19,07
5010313;Ackerstr.;3,34;1,89;10,49;3,94;2,52;9,54;1,95;0,58;15,38
5010314;Carl-Schurz-Str.;3,38;1,72;9,79;3,50;2,02;8,38;3,01;0,94;18,33
5010339;Freiheit;0,67;0,20;3,30;0,99;0,44;2,67;0,34;0,00;6,25
5020415;Isenburger Weg;0,31;0,24;0,61;0,34;0,26;0,63;0,00;0,00;0,00
5020416;Am Heideberg;1,15;0,74;1,87;1,17;0,76;1,89;0,00;0,00;0,00
5020417;Staakener Str.;1,35;0,81;2,60;1,27;0,86;2,13;1,74;0,62;9,09
5020418;Spandauer Str.;1,65;1,05;3,17;1,79;1,30;2,80;1,00;0,18;10,42
5020419;Magistratsweg;3,52;2,16;6,38;3,71;2,53;5,70;2,64;1,03;19,57
5020420;Werkstr.;0,84;0,25;4,14;0,80;0,27;3,70;1,30;0,00;10,00
5020521;Döberitzer Weg;0,48;0,35;0,96;0,50;0,35;1,02;0,32;0,35;0,00
5020522;Pillnitzer Weg;4,07;2,14;10,04;4,50;2,85;8,00;3,07;0,92;31,20
5020523;Maulbeerallee;6,28;2,96;17,18;7,88;4,40;15,41;3,22;0,94;31,60
5020524;Weinmeisterhornweg;1,70;0,89;3,06;1,83;1,04;2,97;0,76;0,17;5,80
5020625;Borkumer Str.;2,86;0,93;8,03;3,06;1,24;6,69;2,25;0,25;24,48
5020626;Adamstr.;3,11;1,63;8,49;3,35;2,09;7,02;2,33;0,42;21,88
5020627;Tiefenwerder;4,70;2,53;11,96;5,56;3,52;10,45;2,52;0,65;28,79
5020628;Graetschelsteig;2,60;1,87;3,70;2,49;2,05;3,04;3,40;1,06;27,78
5020629;Börnicker Str.;1,30;0,69;2,05;1,31;0,79;1,88;1,17;0,00;7,27
5030730;Zitadellenweg;1,73;1,03;6,77;1,84;1,15;6,24;1,40;0,66;9,52
5030731;Gartenfelder Str.;3,45;1,78;8,24;3,64;2,10;7,16;2,82;0,98;17,75
5030832;Rohrdamm;3,07;1,53;8,64;3,34;1,96;7,38;2,44;0,68;14,51
5030833;Motardstr.;1,00;1,00;1,00;1,37;1,45;1,16;0,00;0,00;0,00
5040934;Alt-Gatow;0,73;0,53;1,06;0,48;0,46;0,50;3,39;1,04;13,64
5040935;Groß-Glienicker Weg;3,99;4,62;2,59;4,11;4,78;2,80;3,33;3,92;0,00
5040936;Jägerallee;0,46;0,26;0,95;0,48;0,28;0,95;0,17;0,00;1,04
5040937;Kladower Damm;3,42;3,58;3,20;3,39;3,73;2,95;3,73;2,06;8,11
5040938;Kafkastr.;0,26;0,28;0,24;0,25;0,24;0,25;0,51;0,59;0,00
6010101;Fichtenberg;1,42;0,67;2,80;1,28;0,77;2,11;2,22;0,28;13,08
6010102;Schloßstr.;1,70;0,62;5,29;1,57;0,68;4,15;2,15;0,44;13,86
6010103;Markelstr.;2,13;0,88;6,45;2,03;0,97;5,38;2,60;0,51;14,39
6010204;Munsterdamm;2,43;1,15;6,03;2,33;1,32;4,74;2,86;0,60;18,12
6010205;Südende;2,31;1,03;6,49;2,31;1,22;5,32;2,31;0,35;21,09
6010206;Stadtpark;2,80;1,30;6,47;2,51;1,47;4,76;4,21;0,63;21,76
6010207;Mittelstr.;2,39;1,12;5,99;2,35;1,23;5,08;2,58;0,73;14,37
6010208;Bergstr.;2,81;1,02;8,19;2,91;1,16;7,63;2,32;0,46;12,99
6010209;Feuerbachstr.;2,10;0,79;6,26;2,16;0,90;5,63;1,86;0,43;11,32
6010210;Bismarckstr.;2,54;1,08;7,06;2,49;1,15;6,17;2,75;0,79;15,63
6020301;Alt-Lankwitz;3,05;2,54;4,01;3,13;2,85;3,58;2,50;0,90;11,84
6020302;Komponistenviertel Lankwitz;1,62;0,97;2,90;1,53;1,15;2,13;2,00;0,45;14,29
6020303;Lankwitz-Kirche;2,96;1,44;7,41;2,89;1,50;6,33;3,25;1,24;20,33
6020304;Kaiser-Wilhelm-Str.;2,64;1,19;6,71;2,74;1,33;6,15;2,16;0,66;14,04
6020305;Gemeindepark Lankwitz;3,40;2,01;6,73;3,46;2,38;5,55;3,16;0,94;20,45
6020306;Lankwitz-Süd;1,52;0,72;3,12;1,36;0,67;2,62;2,89;1,05;13,92
6020407;Thermometersiedlung;3,80;1,40;9,14;4,28;1,91;8,00;2,62;0,51;18,32
6020408;Lichterfelde-Süd;2,75;1,30;5,81;2,74;1,38;5,08;2,84;1,01;20,21
