jahr,18-64 Jahre insgesamt,ab 65 Jahre insgesamt,18-64 Jahre Deutsche,ab 65 Jahre Deutsche,18-64 Jahre AuslÃ¤nder,ab 65 Jahre AuslÃ¤nder
2006,0.6776709102038257,3.4470190227205704,0.742954880641652,,0.3497027794141273,10.814460197630885
2007,0.7699682959472632,3.671611434843667,0.844912709319489,3.2581307970283655,0.3999545025301355,10.680343069077422
2008,0.8457659534473037,4.054394121458815,0.9604935750331863,3.5786637409983175,0.4590426133598499,11.96782693107752
2009,0.9340362132857934,4.247985323682842,0.9950744059070535,3.4693520683901484,0.6300618001918861,17.402948809983986
2010,10171.83456666818,2296.582555838281,1.038172123306627,3.5064994313608557,0.7069234466075461,18.769912730295054
2011,1.0438121851648905,4.59778237265848,1.107120242219136,3.709733253213502,0.7394883180797348,18.705577172503244
2012,1.108302293087288,4.844865254131711,1.1845972082625909,3.92162583125469,0.7610051942775892,18.66644020090748
2013,1.163878758362972,5.129281774583932,1.255816549161965,4.1653413526877365,0.7733157521596394,18.660923687533824
2014,1.2216502552491615,5.261007956006243,1.3310206522209593,4.265105088460739,0.7856353143925918,18.459162806226786
2015,1.2600576829604941,5.544876341455648,1.388185853955891,4.482749469628732,0.7887522581054099,19.080871381677113
2016,1.2558321412815336,5.518537990308128,1.3978609237948014,4.420101201282398,0.7745883681577264,18.997781696149254
2017,1.304035572814762,5.717863281729206,1.4594702916822575,4.5705237552494085,0.804606726868211,19.221766061653703
2018,1.3355315770373302,5.900558170353089,1.50382460961599,4.734728901777197,0.8235635760215724,19.08884375752986
2019,1.3587168983659947,6.075906209374073,1.5366085376421013,4.849148690887195,0.8390371378672693,19.469772051536175
2020,1.5470495791793781,6.364220849280216,1.7761777040947044,5.070723084388478,0.8904246445437506,20.382831384333965
2021,1.5348533196890985,6.693940529337837,2.729029181221951,1.7682465920751023,5.328658779742124,2.668695433295341
